TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
180830:164104,180830-1600,0,0.0410958162280376,6432.42640687127,0,0,0,0,0,0
180830:164104,180830-1600,1,0.0410696957076583,-0,0,0,0,0,0,0
180830:164104,180830-1600,2,0.041136292122001,16400,0,0,0,0,0,0
180830:164104,180830-1700,0,0.0411209390405208,6447.95554957728,0,0,0,0,0,0
180830:164104,180830-1700,1,0.041094755460067,-0,0,0,0,0,0,0
180830:164104,180830-1700,2,0.0411613518744096,16400,0,0,0,0,0,0
180830:164104,180830-1800,0,0.0411431863661081,6449.99999999991,0,0,0,0,0,0
180830:164104,180830-1800,1,0.041116994483638,-0,0,0,0,0,0,0
180830:164104,180830-1800,2,0.0411835908979807,16400,0,0,0,0,0,0
180830:164104,180830-1900,0,0.0411566108662029,6449.99999999995,0,0,0,0,0,0
180830:164104,180830-1900,1,0.0411304189837328,-0,0,0,0,0,0,0
180830:164104,180830-1900,2,0.0411970153980754,16400,0,0,0,0,0,0
180830:164104,180830-2000,0,0.0411641501345998,6450,0,0,0,0,0,0
180830:164104,180830-2000,1,0.0411379582521297,-0,0,0,0,0,0,0
180830:164104,180830-2000,2,0.0412045546664723,16400,0,0,0,0,0,0
180830:164104,180830-2100,0,0.0411680578215328,6449.99999999993,0,0,0,0,0,0
180830:164104,180830-2100,1,0.0411418659390627,-0,0,0,0,0,0,0
180830:164104,180830-2100,2,0.0412084623534053,16400,0,0,0,0,0,0
180830:164105,180830-2200,0,0.0356018655075658,6449.99999999998,0,0,0,0,0,0
180830:164105,180830-2200,1,0.035578744572937,-0,0,0,0,0,0,0
180830:164105,180830-2200,2,0.0356375326857917,16400,0,0,0,0,0,0
180830:164105,180830-2300,0,0.0355766795892915,6450.00000000007,0,0,0,0,0,0
180830:164105,180830-2300,1,0.0355535586546627,-0,0,0,0,0,0,0
180830:164105,180830-2300,2,0.0356123467675174,16400,0,0,0,0,0,0
180830:164105,180831-0000,0,0.0355553024360614,6449.99999999998,0,0,0,0,0,0
180830:164105,180831-0000,1,0.0355321815014326,-0,0,0,0,0,0,0
180830:164105,180831-0000,2,0.0355909696142873,16400,0,0,0,0,0,0
180830:164105,180831-0100,0,0.0355463742086293,6450.00000000011,0,0,0,0,0,0
180830:164105,180831-0100,1,0.0355232532740005,-0,0,0,0,0,0,0
