TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
180830:145150,180830-1400,0,0.0412454706494442,150.000000000001,0,0,0,0,0,0
180830:145150,180830-1400,1,0.0412410564456382,-0,0,0,0,0,0,0
180830:145150,180830-1400,2,0.0412469420507129,200,0,0,0,0,0,0
180830:145150,180830-1500,0,0.0412484715166287,150.000000000001,0,0,0,0,0,0
180830:145150,180830-1500,1,0.041244057120798,-0,0,0,0,0,0,0
180830:145150,180830-1500,2,0.0412499429819056,200,0,0,0,0,0,0
180830:145150,180830-1600,0,0.0412590361121704,150.000000000001,0,0,0,0,0,0
180830:145150,180830-1600,1,0.0412546208170889,-0,0,0,0,0,0,0
180830:145150,180830-1600,2,0.0412605078771976,200,0,0,0,0,0,0
180830:145150,180830-1700,0,0.0412846524817639,150,0,0,0,0,0,0
180830:145150,180830-1700,1,0.0412802348717113,-0,0,0,0,0,0,0
180830:145150,180830-1700,2,0.0412861250184481,200,0,0,0,0,0,0
180830:145150,180830-1800,0,0.0413070400549968,149.999999999999,0,0,0,0,0,0
180830:145150,180830-1800,1,0.0413026203905466,-0,0,0,0,0,0,0
180830:145150,180830-1800,2,0.0413085132764802,200,0,0,0,0,0,0
180830:145151,180830-1900,0,0.0413205178806439,149.999999999999,0,0,0,0,0,0
180830:145151,180830-1900,1,0.0413160969760646,-0,0,0,0,0,0,0
180830:145151,180830-1900,2,0.0413219915155037,200,0,0,0,0,0,0
180830:145151,180830-2000,0,0.0413280870969457,150.000000000001,0,0,0,0,0,0
180830:145151,180830-2000,1,0.0413236654959035,-0,0,0,0,0,0,0
180830:145151,180830-2000,2,0.0413295609639598,200,0,0,0,0,0,0
180830:145151,180830-2100,0,0.0413320103062119,150,0,0,0,0,0,0
180830:145151,180830-2100,1,0.0413275883441852,-0,0,0,0,0,0,0
180830:145151,180830-2100,2,0.0413334842935542,200,0,0,0,0,0,0
180830:145151,180830-2200,0,0.0357436581234253,150,0,0,0,0,0,0
180830:145151,180830-2200,1,0.0357398229245767,-0,0,0,0,0,0,0
180830:145151,180830-2200,2,0.0357449365230415,200,0,0,0,0,0,0
180830:145151,180830-2300,0,0.0357183721602335,150.000000000002,0,0,0,0,0,0
180830:145151,180830-2300,1,0.035714539288011,-0,0,0,0,0,0,0
180830:145151,180830-2300,2,0.0357196497843077,200,0,0,0,0,0,0
180830:145151,180831-0000,0,0.0356969100914762,149.999999999999,0,0,0,0,0,0
180830:145151,180831-0000,1,0.0356930791940333,-0,0,0,0,0,0,0
180830:145151,180831-0000,2,0.0356981870572905,200,0,0,0,0,0,0
180830:145151,180831-0100,0,0.0356879463988382,149.999999999999,0,0,0,0,0,0
180830:145151,180831-0100,1,0.0356841163261676,-0,0,0,0,0,0,0
180830:145151,180831-0100,2,0.0356892230897284,200,0,0,0,0,0,0
180830:145151,180831-0200,0,0.0356846907622299,150,0,0,0,0,0,0
180830:145151,180831-0200,1,0.0356808609891187,-0,0,0,0,0,0,0
180830:145151,180831-0200,2,0.035685967353267,200,0,0,0,0,0,0
180830:145151,180831-0300,0,0.0356855330055867,150,0,0,0,0,0,0
180830:145151,180831-0300,1,0.0356817031549785,-0,0,0,0,0,0,0
180830:145151,180831-0300,2,0.0356868096224561,200,0,0,0,0,0,0
180830:145151,180831-0400,0,0.0356890447404707,149.999999999998,0,0,0,0,0,0
180830:145151,180831-0400,1,0.0356852145667388,-0,0,0,0,0,0,0
180830:145151,180831-0400,2,0.035690321465048,200,0,0,0,0,0,0
180830:145151,180831-0500,0,0.0356915086708787,150.000000000001,0,0,0,0,0,0
180830:145151,180831-0500,1,0.0356876782656306,-0,0,0,0,0,0,0
180830:145151,180831-0500,2,0.035692785472628,200,0,0,0,0,0,0
180830:145151,180831-0600,0,0.0412658400369784,149.999999999999,0,0,0,0,0,0
180830:145151,180831-0600,1,0.041261424157909,-0,0,0,0,0,0,0
180830:145151,180831-0600,2,0.0412673119966682,200,0,0,0,0,0,0
180830:145151,180831-0700,0,0.0412838205482346,150,0,0,0,0,0,0
180830:145151,180831-0700,1,0.0412794029726493,-0,0,0,0,0,0,0
180830:145151,180831-0700,2,0.0412852930734297,200,0,0,0,0,0,0
180830:145151,180831-0800,0,0.0412881759803337,150,0,0,0,0,0,0
180830:145151,180831-0800,1,0.0412837579310944,-0,0,0,0,0,0,0
180830:145151,180831-0800,2,0.0412896486634135,200,0,0,0,0,0,0
180830:145151,180831-0900,0,0.0412851843940534,149.999999999999,0,0,0,0,0,0
180830:145151,180831-0900,1,0.0412807665359152,-0,0,0,0,0,0,0
180830:145151,180831-0900,2,0.0412866570134328,200,0,0,0,0,0,0
180830:145151,180831-1000,0,0.0412804115992887,150,0,0,0,0,0,0
180830:145151,180831-1000,1,0.0412759941074392,-0,0,0,0,0,0,0
180830:145151,180831-1000,2,0.0412818840965719,200,0,0,0,0,0,0
180830:145151,180831-1100,0,0.0412689542854678,149.999999999999,0,0,0,0,0,0
180830:145151,180831-1100,1,0.0412645378058278,-0,0,0,0,0,0,0
180830:145151,180831-1100,2,0.0412704264453477,200,0,0,0,0,0,0
180830:145151,180831-1200,0,0.0412588619434091,150.000000000001,0,0,0,0,0,0
180830:145151,180831-1200,1,0.0412544463924585,-0,0,0,0,0,0,0
180830:145151,180831-1200,2,0.0412603337937259,200,0,0,0,0,0,0
180830:145151,180831-1300,0,0.0412474042619582,150,0,0,0,0,0,0
180830:145151,180831-1300,1,0.0412429898073888,-0,0,0,0,0,0,0
180830:145151,180831-1300,2,0.0412488757468146,200,0,0,0,0,0,0
180830:145151,180831-1400,0,0.0412386177193446,149.999999999999,0,0,0,0,0,0
180830:145151,180831-1400,1,0.0412342041461234,-0,0,0,0,0,0,0
180830:145151,180831-1400,2,0.0412400889104183,200,0,0,0,0,0,0
