TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
180830:145206,180830-1400,0,Inf,-150.000000000001,0,0,0,0,0,0
180830:145206,180830-1500,0,Inf,-150.000000000001,0,0,0,0,0,0
180830:145206,180830-1600,0,Inf,-150.000000000001,0,0,0,0,0,0
180830:145206,180830-1700,0,Inf,-150,0,0,0,0,0,0
180830:145206,180830-1800,0,Inf,-149.999999999999,0,0,0,0,0,0
180830:145206,180830-1900,0,Inf,-149.999999999999,0,0,0,0,0,0
180830:145206,180830-2000,0,Inf,-150.000000000001,0,0,0,0,0,0
180830:145206,180830-2100,0,Inf,-150,0,0,0,0,0,0
180830:145206,180830-2200,0,Inf,-150,0,0,0,0,0,0
180830:145206,180830-2300,0,Inf,-150.000000000002,0,0,0,0,0,0
180830:145206,180831-0000,0,Inf,-149.999999999999,0,0,0,0,0,0
180830:145206,180831-0100,0,Inf,-149.999999999999,0,0,0,0,0,0
180830:145206,180831-0200,0,Inf,-150,0,0,0,0,0,0
180830:145206,180831-0300,0,Inf,-150,0,0,0,0,0,0
180830:145206,180831-0400,0,Inf,-149.999999999998,0,0,0,0,0,0
180830:145206,180831-0500,0,Inf,-150.000000000001,0,0,0,0,0,0
180830:145206,180831-0600,0,Inf,-149.999999999999,0,0,0,0,0,0
180830:145206,180831-0700,0,Inf,-150,0,0,0,0,0,0
180830:145206,180831-0800,0,Inf,-150,0,0,0,0,0,0
180830:145206,180831-0900,0,Inf,-149.999999999999,0,0,0,0,0,0
180830:145206,180831-1000,0,Inf,-150,0,0,0,0,0,0
180830:145207,180831-1100,0,Inf,-149.999999999999,0,0,0,0,0,0
180830:145207,180831-1200,0,Inf,-150.000000000001,0,0,0,0,0,0
180830:145207,180831-1300,0,Inf,-150,0,0,0,0,0,0
180830:145207,180831-1400,0,Inf,-149.999999999999,0,0,0,0,0,0
